Sekce,Typ otázky,Otázka,Správná odpověď,Vysvětlení
A,Která linka jede z–do,"Která linka jede z ""Židenice Stará osada"" do ""Modřice smyčka""?",Linka 2,Z Židenice Stará osada do Modřice smyčka jede linka 2.
A,Která linka jede z–do,"Která linka jede z ""Židenice Stará osada"" do ""Bystrc Ečerova""?",Linka 3,Z Židenice Stará osada do Bystrc Ečerova jede linka 3.
A,Která linka jede z–do,"Která linka jede z ""Obřany Babická"" do ""Masarykova čtvrť Náměstí Míru""?",Linka 4,Z Obřany Babická do Masarykova čtvrť Náměstí Míru jede linka 4.
A,Která linka jede z–do,"Která linka jede z ""Štefánikova čtvrť (smyčka)"" do ""Ústřední hřbitov smyčka""?",Linka 5,Z Štefánikova čtvrť (smyčka) do Ústřední hřbitov smyčka jede linka 5.
A,Která linka jede z–do,"Která linka jede z ""Královo Pole nádraží"" do ""Starý Lískovec""?",Linka 6,Z Královo Pole nádraží do Starý Lískovec jede linka 6.
A,Která linka jede z–do,"Která linka jede z ""Lesná Čertova rokle"" do ""Starý Lískovec""?",Linka 7,Z Lesná Čertova rokle do Starý Lískovec jede linka 7.
A,Která linka jede z–do,"Která linka jede z ""Líšeň Mifkova"" do ""Nemocnice Bohunice (terminál tramvaj)""?",Linka 8,Z Líšeň Mifkova do Nemocnice Bohunice (terminál tramvaj) jede linka 8.
A,Která linka jede z–do,"Která linka jede z ""Lesná Čertova rokle"" do ""Židenice Juliánov""?",Linka 9,Z Lesná Čertova rokle do Židenice Juliánov jede linka 9.
A,Která linka jede z–do,"Která linka jede z ""Stránská skála smyčka"" do ""Bystrc Rakovecká""?",Linka 10,Z Stránská skála smyčka do Bystrc Rakovecká jede linka 10.
A,Která linka jede z–do,"Která linka jede z ""Komárov"" do ""Technologický park""?",Linka 12,Z Komárov do Technologický park jede linka 12.
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 1?,Řečkovice,Výchozí zastávka linky 1 je Řečkovice.
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 1?,Bystrc Rakovecká,Konečná zastávka linky 1 je Bystrc Rakovecká.
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 2?,Židenice Stará osada,Výchozí zastávka linky 2 je Židenice Stará osada.
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 2?,Modřice smyčka,Konečná zastávka linky 2 je Modřice smyčka.
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 3?,Židenice Stará osada,Výchozí zastávka linky 3 je Židenice Stará osada.
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 3?,Bystrc Ečerova,Konečná zastávka linky 3 je Bystrc Ečerova.
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 4?,Obřany Babická,Výchozí zastávka linky 4 je Obřany Babická.
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 4?,Masarykova čtvrť Náměstí Míru,Konečná zastávka linky 4 je Masarykova čtvrť Náměstí Míru.
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 5?,Štefánikova čtvrť (smyčka),Výchozí zastávka linky 5 je Štefánikova čtvrť (smyčka).
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 5?,Ústřední hřbitov smyčka,Konečná zastávka linky 5 je Ústřední hřbitov smyčka.
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 6?,Královo Pole nádraží,Výchozí zastávka linky 6 je Královo Pole nádraží.
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 6?,Starý Lískovec,Konečná zastávka linky 6 je Starý Lískovec.
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 7?,Lesná Čertova rokle,Výchozí zastávka linky 7 je Lesná Čertova rokle.
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 7?,Starý Lískovec,Konečná zastávka linky 7 je Starý Lískovec.
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 8?,Líšeň Mifkova,Výchozí zastávka linky 8 je Líšeň Mifkova.
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 8?,Nemocnice Bohunice (terminál tramvaj),Konečná zastávka linky 8 je Nemocnice Bohunice (terminál tramvaj).
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 9?,Lesná Čertova rokle,Výchozí zastávka linky 9 je Lesná Čertova rokle.
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 9?,Židenice Juliánov,Konečná zastávka linky 9 je Židenice Juliánov.
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 10?,Stránská skála smyčka,Výchozí zastávka linky 10 je Stránská skála smyčka.
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 10?,Bystrc Rakovecká,Konečná zastávka linky 10 je Bystrc Rakovecká.
A,Výchozí zastávka linky,Která je VÝCHOZÍ (první) zastávka linky 12?,Komárov,Výchozí zastávka linky 12 je Komárov.
A,Konečná zastávka linky,Která je KONEČNÁ (poslední) zastávka linky 12?,Technologický park,Konečná zastávka linky 12 je Technologický park.
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 1 jede z Řečkovice do Bystrc Rakovecká.""",PRAVDA,"Ano, linka 1 jede mezi Řečkovice a Bystrc Rakovecká (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 1 jede z Bystrc Rakovecká do Řečkovice.""",PRAVDA,"Ano, linka 1 jede obousměrně, tedy i z Bystrc Rakovecká do Řečkovice."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 1 jede z Židenice Stará osada do Modřice smyčka.""",LEŽ,"Ne, linka 1 jede mezi Řečkovice a Bystrc Rakovecká. Z Židenice Stará osada do Modřice smyčka jede linka 2."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 2 jede z Židenice Stará osada do Modřice smyčka.""",PRAVDA,"Ano, linka 2 jede mezi Židenice Stará osada a Modřice smyčka (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 2 jede z Modřice smyčka do Židenice Stará osada.""",PRAVDA,"Ano, linka 2 jede obousměrně, tedy i z Modřice smyčka do Židenice Stará osada."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 2 jede z Řečkovice do Bystrc Rakovecká.""",LEŽ,"Ne, linka 2 jede mezi Židenice Stará osada a Modřice smyčka. Z Řečkovice do Bystrc Rakovecká jede linka 1."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 3 jede z Židenice Stará osada do Bystrc Ečerova.""",PRAVDA,"Ano, linka 3 jede mezi Židenice Stará osada a Bystrc Ečerova (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 3 jede z Bystrc Ečerova do Židenice Stará osada.""",PRAVDA,"Ano, linka 3 jede obousměrně, tedy i z Bystrc Ečerova do Židenice Stará osada."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 3 jede z Řečkovice do Bystrc Rakovecká.""",LEŽ,"Ne, linka 3 jede mezi Židenice Stará osada a Bystrc Ečerova. Z Řečkovice do Bystrc Rakovecká jede linka 1."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 4 jede z Obřany Babická do Masarykova čtvrť Náměstí Míru.""",PRAVDA,"Ano, linka 4 jede mezi Obřany Babická a Masarykova čtvrť Náměstí Míru (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 4 jede z Masarykova čtvrť Náměstí Míru do Obřany Babická.""",PRAVDA,"Ano, linka 4 jede obousměrně, tedy i z Masarykova čtvrť Náměstí Míru do Obřany Babická."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 4 jede z Řečkovice do Bystrc Rakovecká.""",LEŽ,"Ne, linka 4 jede mezi Obřany Babická a Masarykova čtvrť Náměstí Míru. Z Řečkovice do Bystrc Rakovecká jede linka 1."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 5 jede z Štefánikova čtvrť (smyčka) do Ústřední hřbitov smyčka.""",PRAVDA,"Ano, linka 5 jede mezi Štefánikova čtvrť (smyčka) a Ústřední hřbitov smyčka (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 5 jede z Ústřední hřbitov smyčka do Štefánikova čtvrť (smyčka).""",PRAVDA,"Ano, linka 5 jede obousměrně, tedy i z Ústřední hřbitov smyčka do Štefánikova čtvrť (smyčka)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 5 jede z Řečkovice do Bystrc Rakovecká.""",LEŽ,"Ne, linka 5 jede mezi Štefánikova čtvrť (smyčka) a Ústřední hřbitov smyčka. Z Řečkovice do Bystrc Rakovecká jede linka 1."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 6 jede z Královo Pole nádraží do Starý Lískovec.""",PRAVDA,"Ano, linka 6 jede mezi Královo Pole nádraží a Starý Lískovec (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 6 jede z Starý Lískovec do Královo Pole nádraží.""",PRAVDA,"Ano, linka 6 jede obousměrně, tedy i z Starý Lískovec do Královo Pole nádraží."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 6 jede z Řečkovice do Bystrc Rakovecká.""",LEŽ,"Ne, linka 6 jede mezi Královo Pole nádraží a Starý Lískovec. Z Řečkovice do Bystrc Rakovecká jede linka 1."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 7 jede z Lesná Čertova rokle do Starý Lískovec.""",PRAVDA,"Ano, linka 7 jede mezi Lesná Čertova rokle a Starý Lískovec (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 7 jede z Starý Lískovec do Lesná Čertova rokle.""",PRAVDA,"Ano, linka 7 jede obousměrně, tedy i z Starý Lískovec do Lesná Čertova rokle."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 7 jede z Řečkovice do Bystrc Rakovecká.""",LEŽ,"Ne, linka 7 jede mezi Lesná Čertova rokle a Starý Lískovec. Z Řečkovice do Bystrc Rakovecká jede linka 1."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 8 jede z Líšeň Mifkova do Nemocnice Bohunice (terminál tramvaj).""",PRAVDA,"Ano, linka 8 jede mezi Líšeň Mifkova a Nemocnice Bohunice (terminál tramvaj) (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 8 jede z Nemocnice Bohunice (terminál tramvaj) do Líšeň Mifkova.""",PRAVDA,"Ano, linka 8 jede obousměrně, tedy i z Nemocnice Bohunice (terminál tramvaj) do Líšeň Mifkova."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 8 jede z Řečkovice do Bystrc Rakovecká.""",LEŽ,"Ne, linka 8 jede mezi Líšeň Mifkova a Nemocnice Bohunice (terminál tramvaj). Z Řečkovice do Bystrc Rakovecká jede linka 1."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 9 jede z Lesná Čertova rokle do Židenice Juliánov.""",PRAVDA,"Ano, linka 9 jede mezi Lesná Čertova rokle a Židenice Juliánov (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 9 jede z Židenice Juliánov do Lesná Čertova rokle.""",PRAVDA,"Ano, linka 9 jede obousměrně, tedy i z Židenice Juliánov do Lesná Čertova rokle."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 9 jede z Řečkovice do Bystrc Rakovecká.""",LEŽ,"Ne, linka 9 jede mezi Lesná Čertova rokle a Židenice Juliánov. Z Řečkovice do Bystrc Rakovecká jede linka 1."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 10 jede z Stránská skála smyčka do Bystrc Rakovecká.""",PRAVDA,"Ano, linka 10 jede mezi Stránská skála smyčka a Bystrc Rakovecká (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 10 jede z Bystrc Rakovecká do Stránská skála smyčka.""",PRAVDA,"Ano, linka 10 jede obousměrně, tedy i z Bystrc Rakovecká do Stránská skála smyčka."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 10 jede z Řečkovice do Bystrc Rakovecká.""",LEŽ,"Ne, linka 10 jede mezi Stránská skála smyčka a Bystrc Rakovecká. Z Řečkovice do Bystrc Rakovecká jede linka 1."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 12 jede z Komárov do Technologický park.""",PRAVDA,"Ano, linka 12 jede mezi Komárov a Technologický park (obousměrně)."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 12 jede z Technologický park do Komárov.""",PRAVDA,"Ano, linka 12 jede obousměrně, tedy i z Technologický park do Komárov."
A,Pravda / Lež,"PRAVDA nebo LEŽ: „Linka 12 jede z Řečkovice do Bystrc Rakovecká.""",LEŽ,"Ne, linka 12 jede mezi Komárov a Technologický park. Z Řečkovice do Bystrc Rakovecká jede linka 1."
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Řečkovice"" a „Bystrc Rakovecká""?",Linka 1,Tyto dvě konečné zastávky spojuje linka 1.
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Židenice Stará osada"" a „Modřice smyčka""?",Linka 2,Tyto dvě konečné zastávky spojuje linka 2.
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Židenice Stará osada"" a „Bystrc Ečerova""?",Linka 3,Tyto dvě konečné zastávky spojuje linka 3.
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Obřany Babická"" a „Masarykova čtvrť Náměstí Míru""?",Linka 4,Tyto dvě konečné zastávky spojuje linka 4.
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Štefánikova čtvrť (smyčka)"" a „Ústřední hřbitov smyčka""?",Linka 5,Tyto dvě konečné zastávky spojuje linka 5.
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Královo Pole nádraží"" a „Starý Lískovec""?",Linka 6,Tyto dvě konečné zastávky spojuje linka 6.
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Lesná Čertova rokle"" a „Starý Lískovec""?",Linka 7,Tyto dvě konečné zastávky spojuje linka 7.
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Líšeň Mifkova"" a „Nemocnice Bohunice (terminál tramvaj)""?",Linka 8,Tyto dvě konečné zastávky spojuje linka 8.
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Lesná Čertova rokle"" a „Židenice Juliánov""?",Linka 9,Tyto dvě konečné zastávky spojuje linka 9.
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Stránská skála smyčka"" a „Bystrc Rakovecká""?",Linka 10,Tyto dvě konečné zastávky spojuje linka 10.
A,Jaká linka spojuje tyto zastávky,"Jaká linka spojuje konečné zastávky: „Komárov"" a „Technologický park""?",Linka 12,Tyto dvě konečné zastávky spojuje linka 12.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Řečkovice"" (směr Bystrc Rakovecká)?",Filkukova,Po zastávce Řečkovice na lince 1 (směr Bystrc Rakovecká) následuje Filkukova.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Filkukova"" (směr Bystrc Rakovecká)?",Kořískova,Po zastávce Filkukova na lince 1 (směr Bystrc Rakovecká) následuje Kořískova.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Kořískova"" (směr Bystrc Rakovecká)?",Hudcova,Po zastávce Kořískova na lince 1 (směr Bystrc Rakovecká) následuje Hudcova.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Hudcova"" (směr Bystrc Rakovecká)?",Vozovna Medlánky,Po zastávce Hudcova na lince 1 (směr Bystrc Rakovecká) následuje Vozovna Medlánky.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Vozovna Medlánky"" (směr Bystrc Rakovecká)?",Tylova,Po zastávce Vozovna Medlánky na lince 1 (směr Bystrc Rakovecká) následuje Tylova.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Tylova"" (směr Bystrc Rakovecká)?",Semilasso (Palackého z centra),Po zastávce Tylova na lince 1 (směr Bystrc Rakovecká) následuje Semilasso (Palackého z centra).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Semilasso (Palackého z centra)"" (směr Bystrc Rakovecká)?",Husitská (Palackého),Po zastávce Semilasso (Palackého z centra) na lince 1 (směr Bystrc Rakovecká) následuje Husitská (Palackého).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Husitská (Palackého)"" (směr Bystrc Rakovecká)?",Jungmannova,Po zastávce Husitská (Palackého) na lince 1 (směr Bystrc Rakovecká) následuje Jungmannova.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Jungmannova"" (směr Bystrc Rakovecká)?",Kartouzská,Po zastávce Jungmannova na lince 1 (směr Bystrc Rakovecká) následuje Kartouzská.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Kartouzská"" (směr Bystrc Rakovecká)?",Šumavská,Po zastávce Kartouzská na lince 1 (směr Bystrc Rakovecká) následuje Šumavská.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Šumavská"" (směr Bystrc Rakovecká)?",Hrnčířská,Po zastávce Šumavská na lince 1 (směr Bystrc Rakovecká) následuje Hrnčířská.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Hrnčířská"" (směr Bystrc Rakovecká)?",Pionýrská,Po zastávce Hrnčířská na lince 1 (směr Bystrc Rakovecká) následuje Pionýrská.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Pionýrská"" (směr Bystrc Rakovecká)?",Antonínská,Po zastávce Pionýrská na lince 1 (směr Bystrc Rakovecká) následuje Antonínská.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Antonínská"" (směr Bystrc Rakovecká)?",Moravské náměstí (Královo Pole),Po zastávce Antonínská na lince 1 (směr Bystrc Rakovecká) následuje Moravské náměstí (Královo Pole).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Moravské náměstí (Královo Pole)"" (směr Bystrc Rakovecká)?",Malinovského náměstí (Rooseveltova),Po zastávce Moravské náměstí (Královo Pole) na lince 1 (směr Bystrc Rakovecká) následuje Malinovského náměstí (Rooseveltova).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Malinovského náměstí (Rooseveltova)"" (směr Bystrc Rakovecká)?",Hlavní nádraží (kolej 1),Po zastávce Malinovského náměstí (Rooseveltova) na lince 1 (směr Bystrc Rakovecká) následuje Hlavní nádraží (kolej 1).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Hlavní nádraží (kolej 1)"" (směr Bystrc Rakovecká)?",Nové sady (kolej 1),Po zastávce Hlavní nádraží (kolej 1) na lince 1 (směr Bystrc Rakovecká) následuje Nové sady (kolej 1).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Nové sady (kolej 1)"" (směr Bystrc Rakovecká)?",Hybešova,Po zastávce Nové sady (kolej 1) na lince 1 (směr Bystrc Rakovecká) následuje Hybešova.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Hybešova"" (směr Bystrc Rakovecká)?",Václavská,Po zastávce Hybešova na lince 1 (směr Bystrc Rakovecká) následuje Václavská.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Václavská"" (směr Bystrc Rakovecká)?",Mendlovo náměstí (tram Pisárky),Po zastávce Václavská na lince 1 (směr Bystrc Rakovecká) následuje Mendlovo náměstí (tram Pisárky).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Mendlovo náměstí (tram Pisárky)"" (směr Bystrc Rakovecká)?",Výstaviště hlavní vstup,Po zastávce Mendlovo náměstí (tram Pisárky) na lince 1 (směr Bystrc Rakovecká) následuje Výstaviště hlavní vstup.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Výstaviště hlavní vstup"" (směr Bystrc Rakovecká)?",Výstaviště vstup G2,Po zastávce Výstaviště hlavní vstup na lince 1 (směr Bystrc Rakovecká) následuje Výstaviště vstup G2.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Výstaviště vstup G2"" (směr Bystrc Rakovecká)?",Arena Brno (vozovna Pisárky),Po zastávce Výstaviště vstup G2 na lince 1 (směr Bystrc Rakovecká) následuje Arena Brno (vozovna Pisárky).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Arena Brno (vozovna Pisárky)"" (směr Bystrc Rakovecká)?",Pisárky (tunel),Po zastávce Arena Brno (vozovna Pisárky) na lince 1 (směr Bystrc Rakovecká) následuje Pisárky (tunel).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Pisárky (tunel)"" (směr Bystrc Rakovecká)?",Bráfova,Po zastávce Pisárky (tunel) na lince 1 (směr Bystrc Rakovecká) následuje Bráfova.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Bráfova"" (směr Bystrc Rakovecká)?",Stránského,Po zastávce Bráfova na lince 1 (směr Bystrc Rakovecká) následuje Stránského.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Stránského"" (směr Bystrc Rakovecká)?",Vozovna Komín,Po zastávce Stránského na lince 1 (směr Bystrc Rakovecká) následuje Vozovna Komín.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Vozovna Komín"" (směr Bystrc Rakovecká)?",Svratecká (Kníničská),Po zastávce Vozovna Komín na lince 1 (směr Bystrc Rakovecká) následuje Svratecká (Kníničská).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Svratecká (Kníničská)"" (směr Bystrc Rakovecká)?",Branka,Po zastávce Svratecká (Kníničská) na lince 1 (směr Bystrc Rakovecká) následuje Branka.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Branka"" (směr Bystrc Rakovecká)?",Podlesí,Po zastávce Branka na lince 1 (směr Bystrc Rakovecká) následuje Podlesí.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Podlesí"" (směr Bystrc Rakovecká)?",Kamenolom,Po zastávce Podlesí na lince 1 (směr Bystrc Rakovecká) následuje Kamenolom.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Kamenolom"" (směr Bystrc Rakovecká)?",Zoologická zahrada (Obvodová),Po zastávce Kamenolom na lince 1 (směr Bystrc Rakovecká) následuje Zoologická zahrada (Obvodová).
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Zoologická zahrada (Obvodová)"" (směr Bystrc Rakovecká)?",Přístaviště,Po zastávce Zoologická zahrada (Obvodová) na lince 1 (směr Bystrc Rakovecká) následuje Přístaviště.
B,Následující zastávka,"Linka 1 – jaká zastávka NÁSLEDUJE po „Přístaviště"" (směr Bystrc Rakovecká)?",Bystrc Rakovecká,Po zastávce Přístaviště na lince 1 (směr Bystrc Rakovecká) následuje Bystrc Rakovecká.
B,Předchozí zastávka,"Linka 1 – jaká zastávka PŘEDCHÁZÍ zastávce „Filkukova"" (směr Bystrc Rakovecká)?",Řečkovice,Před zastávkou Filkukova na lince 1 je Řečkovice.
B,Předchozí zastávka,"Linka 1 – jaká zastávka PŘEDCHÁZÍ zastávce „Kořískova"" (směr Bystrc Rakovecká)?",Filkukova,Před zastávkou Kořískova na lince 1 je Filkukova.
B,Předchozí zastávka,"Linka 1 – jaká zastávka PŘEDCHÁZÍ zastávce „Hudcova"" (směr Bystrc Rakovecká)?",Kořískova,Před zastávkou Hudcova na lince 1 je Kořískova.
B,Předchozí zastávka,"Linka 1 – jaká zastávka PŘEDCHÁZÍ zastávce „Vozovna Medlánky"" (směr Bystrc Rakovecká)?",Hudcova,Před zastávkou Vozovna Medlánky na lince 1 je Hudcova.
B,Předchozí zastávka,"Linka 1 – jaká zastávka PŘEDCHÁZÍ zastávce „Tylova"" (směr Bystrc Rakovecká)?",Vozovna Medlánky,Před zastávkou Tylova na lince 1 je Vozovna Medlánky.
B,Předchozí zastávka,"Linka 1 – jaká zastávka PŘEDCHÁZÍ zastávce „Semilasso (Palackého z centra)"" (směr Bystrc Rakovecká)?",Tylova,Před zastávkou Semilasso (Palackého z centra) na lince 1 je Tylova.
B,Předchozí zastávka,"Linka 1 – jaká zastávka PŘEDCHÁZÍ zastávce „Husitská (Palackého)"" (směr Bystrc Rakovecká)?",Semilasso (Palackého z centra),Před zastávkou Husitská (Palackého) na lince 1 je Semilasso (Palackého z centra).
B,Předchozí zastávka,"Linka 1 – jaká zastávka PŘEDCHÁZÍ zastávce „Jungmannova"" (směr Bystrc Rakovecká)?",Husitská (Palackého),Před zastávkou Jungmannova na lince 1 je Husitská (Palackého).
B,Předchozí zastávka,"Linka 1 – jaká zastávka PŘEDCHÁZÍ zastávce „Kartouzská"" (směr Bystrc Rakovecká)?",Jungmannova,Před zastávkou Kartouzská na lince 1 je Jungmannova.
